object_type,table,model_name,source_column,data_type,hidden,key,description_or_dax
column,Sales,Product ID,ProductID,string,yes,FK,Relates to Product (0 orphans)
column,Sales,Date,Date,dateTime,yes,FK,Relates to Date 2015-01-01 to 2020-06-30
column,Sales,Customer ID,CustomerID,string,yes,FK,Relates to Customer zero-padded (0 orphans)
column,Sales,Campaign ID,CampaignID,int64,yes,FK,Relates to Campaign (0 orphans)
column,Sales,Units,Units,int64,yes,,Units sold constant 1 so row count equals units
column,Budget,Type,Type,string,yes,,Plan type Budget or Forecast
column,Budget,Year,Year,int64,yes,,Plan year 2020 or 2021
column,Budget,Month Name,Month,string,yes,,Month abbreviation as supplied
column,Budget,Date,,dateTime,yes,FK,Derived month-start date relates to Date
column,Budget,Category-Segment,,string,yes,FK,Derived unpivoted key relates to Product Group
column,Budget,Category,,string,yes,,Derived category portion of unpivoted key
column,Budget,Segment,,string,yes,,Derived segment portion of unpivoted key
column,Budget,Amount,,double,yes,,Unpivoted planned revenue value USD
column,Date,Date,,dateTime,no,PK,Calculated calendar date relationship key
column,Date,Year,,int64,no,,Calendar year
column,Date,Quarter,,string,no,,Q1-Q4
column,Date,Quarter No,,int64,yes,,1-4 sort key for Quarter
column,Date,Month Number,,int64,yes,,1-12 sort key for Month Name
column,Date,Month Name,,string,no,,Jan-Dec sorted by Month Number
column,Date,Month,,string,no,,Mon-YY chronological month label
column,Date,MonthID,,int64,yes,,YYYYMM sort key for Month
column,Product,Product ID,ProductID,string,yes,PK,Product key
column,Product,Product,Product,string,no,,Product display name
column,Product,Manufacturer,Manufacturer,string,yes,,Constant VanArsdel no competitors
column,Product,Category-Segment,,string,yes,FK,Derived relates to Product Group
column,Product,Category,Category,string,yes,,Product category surfaced via Product Group
column,Product,Segment,Segment,string,yes,,Product segment surfaced via Product Group
column,Product,Unit Cost,Unit Cost,double,yes,,List unit cost USD range 15.31-149.46
column,Product,Unit Price,Unit Price,double,yes,,List unit price USD range 20.97-204.74
column,Product Group,Category-Segment,,string,yes,PK,Conformed key one-side of Product and Budget
column,Product Group,Category,,string,no,,Category for slicer and matrix rows
column,Product Group,Segment,,string,no,,Segment for slicer and matrix rows
column,Customer,Customer ID,CustomerID,string,yes,PK,Customer key zero-padded
column,Customer,Customer Name,,string,no,,Parsed Last First from Email Name trimmed
column,Customer,Email,,string,yes,,Parsed email from Email Name trimmed synthetic PII
column,Customer,ZIP,ZipCode,string,yes,FK,Relates to Geo (0 orphans)
