SnapshotDate,AccountID,CustomerID,ProductID,BranchID,Balance_VND,NPLGroup
2023-10-31,A0000006,C00002,P001,B022,133542284,N/A
2023-10-31,A0000008,C00003,P006,B035,6230505666,N/A
2023-10-31,A0000009,C00003,P007,B035,4424581745,N/A
2023-10-31,A0000010,C00003,P001,B035,4881122281,N/A
2023-10-31,A0000011,C00003,P205,B035,149929260,Nhóm 1
2023-10-31,A0000012,C00003,P204,B035,89133904,Nhóm 1
2023-10-31,A0000013,C00003,P205,B035,0,N/A
2023-10-31,A0000014,C00003,P301,B035,13209773038,N/A
2023-10-31,A0000015,C00004,P004,B006,99112249,N/A
2023-10-31,A0000016,C00004,P104,B006,242219830,Nhóm 2
2023-10-31,A0000017,C00004,P203,B006,1731081,Nhóm 1
2023-10-31,A0000018,C00005,P003,B026,188242505,N/A
2023-10-31,A0000019,C00005,P203,B026,8341167,Nhóm 1
2023-10-31,A0000020,C00006,P007,B050,94344972,N/A
2023-10-31,A0000021,C00006,P202,B050,0,N/A
2023-10-31,A0000022,C00007,P006,B039,924203612,N/A
2023-10-31,A0000023,C00007,P002,B039,380169948,N/A
2023-10-31,A0000032,C00009,P006,B020,92231296,N/A
2023-10-31,A0000033,C00009,P202,B020,0,N/A
2023-10-31,A0000034,C00010,P006,B035,5221669709,N/A
2023-10-31,A0000035,C00010,P001,B035,25411327925,N/A
2023-10-31,A0000036,C00010,P004,B035,12286210500,N/A
2023-10-31,A0000038,C00010,P205,B035,95422768,Nhóm 1
2023-10-31,A0000040,C00010,P204,B035,0,N/A
2023-10-31,A0000042,C00011,P007,B035,450370610,N/A
2023-10-31,A0000047,C00012,P006,B026,117961102,N/A
2023-10-31,A0000048,C00012,P203,B026,0,N/A
2023-10-31,A0000049,C00013,P001,B034,75722845,N/A
2023-10-31,A0000053,C00015,P003,B018,78804858,N/A
2023-10-31,A0000054,C00015,P201,B018,0,N/A
2023-10-31,A0000055,C00016,P002,B025,122240093,N/A
2023-10-31,A0000056,C00016,P203,B025,3966002,Nhóm 1
2023-10-31,A0000057,C00017,P003,B033,120570503,N/A
2023-10-31,A0000058,C00017,P202,B033,0,N/A
2023-10-31,A0000059,C00018,P005,B022,203248577,N/A
2023-10-31,A0000061,C00019,P004,B036,531589696,N/A
2023-10-31,A0000062,C00019,P006,B036,928857910,N/A
2023-10-31,A0000063,C00019,P202,B036,0,N/A
2023-10-31,A0000064,C00019,P204,B036,32525015,Nhóm 1
2023-10-31,A0000067,C00021,P006,B043,2646989169,N/A
2023-10-31,A0000068,C00021,P005,B043,1290672862,N/A
2023-10-31,A0000069,C00021,P202,B043,0,N/A
2023-10-31,A0000070,C00021,P203,B043,0,N/A
2023-10-31,A0000073,C00023,P004,B027,142342847,N/A
2023-10-31,A0000074,C00023,P201,B027,0,N/A
2023-10-31,A0000075,C00024,P003,B030,153313968,N/A
2023-10-31,A0000077,C00025,P007,B026,90508920,N/A
2023-10-31,A0000078,C00025,P201,B026,0,N/A
2023-10-31,A0000079,C00026,P003,B026,84199706,N/A
2023-10-31,A0000080,C00026,P203,B026,0,N/A
2023-10-31,A0000081,C00027,P005,B006,353911354,N/A
2023-10-31,A0000082,C00027,P005,B006,1727812199,N/A
2023-10-31,A0000083,C00027,P204,B006,25487006,Nhóm 1
2023-10-31,A0000084,C00027,P203,B006,0,N/A
2023-10-31,A0000085,C00028,P005,B027,100418271,N/A
2023-10-31,A0000086,C00028,P203,B027,0,N/A
2023-10-31,A0000089,C00030,P005,B023,747878615,N/A
2023-10-31,A0000090,C00030,P006,B023,2753813868,N/A
2023-10-31,A0000091,C00030,P204,B023,20425627,Nhóm 1
2023-10-31,A0000092,C00030,P203,B023,0,N/A
2023-10-31,A0000095,C00032,P002,B049,71994999,N/A
2023-10-31,A0000096,C00032,P202,B049,0,N/A
2023-10-31,A0000097,C00033,P001,B018,124149307,N/A
2023-10-31,A0000098,C00033,P202,B018,0,N/A
2023-10-31,A0000111,C00038,P007,B024,68404383,N/A
2023-10-31,A0000112,C00038,P102,B024,540915039,Nhóm 1
2023-10-31,A0000113,C00038,P202,B024,0,N/A
2023-10-31,A0000116,C00040,P003,B006,6354813336,N/A
2023-10-31,A0000117,C00040,P003,B006,6123534282,N/A
2023-10-31,A0000118,C00040,P002,B006,9321277700,N/A
2023-10-31,A0000119,C00040,P206,B006,0,N/A
2023-10-31,A0000120,C00040,P205,B006,48691508,Nhóm 1
2023-10-31,A0000121,C00040,P206,B006,0,N/A
2023-10-31,A0000122,C00040,P305,B006,5067992697,N/A
2023-10-31,A0000123,C00041,P004,B017,30118333802,N/A
2023-10-31,A0000124,C00041,P003,B017,51012495318,N/A
2023-10-31,A0000125,C00041,P003,B017,86591959730,N/A
2023-10-31,A0000126,C00041,P004,B017,28930504837,N/A
2023-10-31,A0000128,C00041,P206,B017,239089438,Nhóm 1
2023-10-31,A0000129,C00041,P206,B017,0,N/A
2023-10-31,A0000130,C00041,P206,B017,543097837,Nhóm 1
2023-10-31,A0000131,C00041,P305,B017,83165207351,N/A
2023-10-31,A0000132,C00042,P002,B029,92676752,N/A
2023-10-31,A0000133,C00042,P203,B029,8680539,Nhóm 1
2023-10-31,A0000134,C00043,P004,B007,89901336,N/A
2023-10-31,A0000135,C00043,P202,B007,0,N/A
2023-10-31,A0000136,C00044,P002,B010,15283659489,N/A
2023-10-31,A0000137,C00044,P003,B010,3009794599,N/A
2023-10-31,A0000138,C00044,P007,B010,9539352389,N/A
2023-10-31,A0000139,C00044,P206,B010,150744091,Nhóm 1
2023-10-31,A0000140,C00044,P204,B010,0,N/A
2023-10-31,A0000141,C00044,P206,B010,0,N/A
2023-10-31,A0000142,C00045,P006,B006,3728930568,N/A
2023-10-31,A0000143,C00045,P002,B006,8121703729,N/A
2023-10-31,A0000144,C00045,P001,B006,19568746554,N/A
2023-10-31,A0000145,C00045,P206,B006,0,N/A
2023-10-31,A0000146,C00045,P206,B006,0,N/A
2023-10-31,A0000147,C00045,P204,B006,85647093,Nhóm 1
2023-10-31,A0000148,C00045,P304,B006,9829038407,N/A
2023-10-31,A0000149,C00046,P007,B035,962687073,N/A
2023-10-31,A0000150,C00046,P003,B035,546772258,N/A
2023-10-31,A0000151,C00046,P104,B035,314138357,Nhóm 1
2023-10-31,A0000152,C00046,P203,B035,28896153,Nhóm 1
2023-10-31,A0000153,C00046,P203,B035,19069290,Nhóm 1
2023-10-31,A0000159,C00048,P005,B005,637123605,N/A
2023-10-31,A0000160,C00048,P006,B005,1108000292,N/A
2023-10-31,A0000162,C00048,P202,B005,0,N/A
2023-10-31,A0000163,C00048,P204,B005,0,N/A
2023-10-31,A0000166,C00050,P006,B032,229517127,N/A
2023-10-31,A0000167,C00050,P202,B032,0,N/A
2023-10-31,A0000168,C00051,P001,B048,479196375,N/A
2023-10-31,A0000169,C00051,P106,B048,1554920787,Nhóm 1
2023-10-31,A0000170,C00051,P202,B048,0,N/A
2023-10-31,A0000173,C00053,P002,B045,141085574,N/A
2023-10-31,A0000174,C00053,P101,B045,212921762,Nhóm 1
2023-10-31,A0000175,C00053,P201,B045,0,N/A
2023-10-31,A0000176,C00054,P001,B014,122102636,N/A
2023-10-31,A0000177,C00054,P203,B014,14341977,Nhóm 1
2023-10-31,A0000178,C00055,P004,B018,421264143,N/A
2023-10-31,A0000179,C00055,P001,B018,753518006,N/A
2023-10-31,A0000180,C00055,P203,B018,6586775,Nhóm 1
2023-10-31,A0000181,C00055,P203,B018,0,N/A
2023-10-31,A0000182,C00056,P003,B026,8129073567,N/A
2023-10-31,A0000183,C00056,P004,B026,5925163215,N/A
2023-10-31,A0000184,C00056,P002,B026,8589203617,N/A
2023-10-31,A0000185,C00056,P204,B026,67026955,Nhóm 1
2023-10-31,A0000186,C00056,P204,B026,0,N/A
2023-10-31,A0000187,C00056,P204,B026,0,N/A
2023-10-31,A0000188,C00056,P301,B026,12169845602,N/A
2023-10-31,A0000189,C00057,P004,B042,95645634,N/A
2023-10-31,A0000190,C00057,P101,B042,285766186,Nhóm 1
2023-10-31,A0000191,C00057,P202,B042,0,N/A
2023-10-31,A0000197,C00059,P007,B027,62872696,N/A
2023-10-31,A0000198,C00059,P101,B027,651459778,Nhóm 1
2023-10-31,A0000199,C00059,P203,B027,8918269,Nhóm 1
2023-10-31,A0000205,C00061,P002,B033,140373214,N/A
2023-10-31,A0000206,C00061,P203,B033,12637550,Nhóm 1
2023-10-31,A0000207,C00062,P003,B022,1335740729,N/A
2023-10-31,A0000208,C00062,P003,B022,621683479,N/A
2023-10-31,A0000210,C00062,P203,B022,0,N/A
2023-10-31,A0000211,C00062,P203,B022,0,N/A
2023-10-31,A0000212,C00063,P001,B041,514235937,N/A
2023-10-31,A0000213,C00063,P002,B041,711781029,N/A
2023-10-31,A0000214,C00063,P102,B041,709058259,Nhóm 1
2023-10-31,A0000215,C00063,P202,B041,0,N/A
2023-10-31,A0000216,C00063,P204,B041,30444261,Nhóm 1
2023-10-31,A0000217,C00063,P304,B041,1536682901,N/A
2023-10-31,A0000218,C00064,P006,B012,884948587,N/A
2023-10-31,A0000219,C00064,P005,B012,1191323722,N/A
2023-10-31,A0000220,C00064,P204,B012,0,N/A
2023-10-31,A0000221,C00064,P204,B012,97338263,Nhóm 1
2023-10-31,A0000222,C00065,P006,B044,62987266,N/A
2023-10-31,A0000223,C00065,P201,B044,0,N/A
2023-10-31,A0000224,C00066,P005,B001,129827861,N/A
2023-10-31,A0000225,C00066,P101,B001,431743508,Nhóm 1
2023-10-31,A0000226,C00066,P203,B001,0,N/A
2023-10-31,A0000227,C00067,P003,B026,330024766,N/A
2023-10-31,A0000228,C00067,P007,B026,692714314,N/A
2023-10-31,A0000229,C00067,P104,B026,695190226,Nhóm 2
2023-10-31,A0000230,C00067,P204,B026,61720357,Nhóm 1
2023-10-31,A0000231,C00067,P203,B026,0,N/A
2023-10-31,A0000235,C00069,P001,B035,107812789,N/A
2023-10-31,A0000236,C00069,P201,B035,0,N/A
2023-10-31,A0000237,C00070,P005,B006,176094229,N/A
2023-10-31,A0000238,C00070,P203,B006,13738140,Nhóm 1
2023-10-31,A0000239,C00071,P001,B044,78651210,N/A
2023-10-31,A0000241,C00071,P203,B044,22944773,Nhóm 1
2023-10-31,A0000245,C00073,P004,B005,135797483,N/A
2023-10-31,A0000246,C00073,P203,B005,31256531,Nhóm 1
2023-10-31,A0000247,C00074,P007,B044,96609015,N/A
2023-10-31,A0000249,C00075,P003,B026,196073117,N/A
2023-10-31,A0000250,C00075,P202,B026,0,N/A
2023-10-31,A0000251,C00076,P006,B032,67237463,N/A
2023-10-31,A0000252,C00076,P102,B032,291664066,Nhóm 1
2023-10-31,A0000253,C00076,P201,B032,0,N/A
2023-10-31,A0000254,C00077,P002,B014,93919651,N/A
2023-10-31,A0000255,C00077,P201,B014,0,N/A
2023-10-31,A0000258,C00079,P006,B014,139027101,N/A
2023-10-31,A0000260,C00080,P002,B018,77443786,N/A
2023-10-31,A0000261,C00080,P202,B018,0,N/A
2023-10-31,A0000264,C00082,P001,B016,829739899,N/A
2023-10-31,A0000265,C00082,P002,B016,643768558,N/A
2023-10-31,A0000266,C00082,P106,B016,484443614,Nhóm 1
2023-10-31,A0000267,C00082,P202,B016,0,N/A
2023-10-31,A0000268,C00082,P204,B016,0,N/A
2023-10-31,A0000269,C00082,P302,B016,2211502734,N/A
2023-10-31,A0000270,C00083,P004,B022,374280842,N/A
2023-10-31,A0000271,C00083,P001,B022,1335492324,N/A
2023-10-31,A0000272,C00083,P106,B022,1216125592,Nhóm 1
2023-10-31,A0000273,C00083,P202,B022,0,N/A
2023-10-31,A0000274,C00083,P203,B022,0,N/A
2023-10-31,A0000275,C00084,P003,B042,88545902,N/A
2023-10-31,A0000276,C00084,P101,B042,261833278,Nhóm 1
2023-10-31,A0000277,C00084,P201,B042,0,N/A
2023-10-31,A0000278,C00085,P007,B026,200779322,N/A
2023-10-31,A0000279,C00085,P203,B026,32225597,Nhóm 1
2023-10-31,A0000280,C00086,P001,B009,138487492,N/A
2023-10-31,A0000281,C00086,P202,B009,0,N/A
2023-10-31,A0000282,C00087,P006,B048,149311324,N/A
2023-10-31,A0000283,C00087,P203,B048,0,N/A
2023-10-31,A0000287,C00089,P004,B006,203016348,N/A
2023-10-31,A0000288,C00089,P202,B006,0,N/A
2023-10-31,A0000294,C00091,P005,B050,197219082,N/A
2023-10-31,A0000295,C00091,P202,B050,0,N/A
2023-10-31,A0000304,C00093,P003,B024,210695506,N/A
2023-10-31,A0000305,C00093,P201,B024,0,N/A
2023-10-31,A0000306,C00094,P006,B045,70268366,N/A
2023-10-31,A0000308,C00094,P202,B045,0,N/A
2023-10-31,A0000309,C00095,P004,B032,48440476,N/A
2023-10-31,A0000310,C00095,P203,B032,0,N/A
2023-10-31,A0000311,C00096,P001,B026,100966043,N/A
2023-10-31,A0000312,C00096,P203,B026,0,N/A
2023-10-31,A0000315,C00098,P002,B013,57797684,N/A
2023-10-31,A0000317,C00099,P006,B050,121315705,N/A
2023-10-31,A0000324,C00101,P006,B010,98515855,N/A
2023-10-31,A0000325,C00101,P203,B010,0,N/A
2023-10-31,A0000328,C00103,P006,B015,187262384,N/A
