SnapshotDate,CustomerID,ProductID,ProductName,ProductCategory,ProductSubCategory,BranchID,Balance_VND,NPLGroup
2025-05-31,C00001,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B026,317344792,N/A
2025-05-31,C00001,P201,Thẻ ghi nợ nội địa,Card,Debit,B026,0,N/A
2025-05-31,C00002,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B012,55801907275,N/A
2025-05-31,C00002,P007,Chứng chỉ tiền gửi,Deposit,CD,B012,11990399357,N/A
2025-05-31,C00002,P001,Tài khoản thanh toán,Deposit,CA,B012,27216339413,N/A
2025-05-31,C00002,P002,Tiết kiệm không kỳ hạn,Deposit,SA,B012,14452179708,N/A
2025-05-31,C00002,P103,Vay tiêu dùng tín chấp,Loan,Consumer,B012,56395226545,Nhóm 1
2025-05-31,C00002,P206,Thẻ tín dụng Hạng Sang,Card,Credit,B012,0,N/A
2025-05-31,C00002,P204,Thẻ tín dụng Vàng,Card,Credit,B012,202659871,Nhóm 1
2025-05-31,C00002,P205,Thẻ tín dụng Bạch Kim,Card,Credit,B012,1306972010,Nhóm 1
2025-05-31,C00002,P302,Quản lý gia sản,Wealth,WM,B012,15596489783,N/A
2025-05-31,C00003,P001,Tài khoản thanh toán,Deposit,CA,B014,283161805,N/A
2025-05-31,C00003,P105,Vay thấu chi tài khoản,Loan,Overdraft,B014,2320726498,Nhóm 2
2025-05-31,C00003,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B014,0,N/A
2025-05-31,C00004,P004,Tiết kiệm có kỳ hạn 6 tháng,Deposit,TD,B024,185169578,N/A
2025-05-31,C00004,P102,Vay mua ô tô,Loan,AutoLoan,B024,2184162253,Nhóm 4
2025-05-31,C00004,P201,Thẻ ghi nợ nội địa,Card,Debit,B024,0,N/A
2025-05-31,C00005,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B040,241126442,N/A
2025-05-31,C00005,P104,Vay kinh doanh hộ cá thể,Loan,SME,B040,523118220,Nhóm 1
2025-05-31,C00005,P201,Thẻ ghi nợ nội địa,Card,Debit,B040,0,N/A
2025-05-31,C00006,P003,Tiết kiệm có kỳ hạn 3 tháng,Deposit,TD,B040,164978123,N/A
2025-05-31,C00006,P102,Vay mua ô tô,Loan,AutoLoan,B040,2226729185,Nhóm 1
2025-05-31,C00006,P203,Thẻ tín dụng Chuẩn,Card,Credit,B040,2967926,Nhóm 1
2025-05-31,C00007,P005,Tiết kiệm có kỳ hạn 12 tháng,Deposit,TD,B042,698453710,N/A
2025-05-31,C00007,P006,Tiết kiệm có kỳ hạn 24 tháng,Deposit,TD,B042,937138379,N/A
2025-05-31,C00007,P203,Thẻ tín dụng Chuẩn,Card,Credit,B042,0,N/A
2025-05-31,C00007,P202,Thẻ ghi nợ quốc tế Visa,Card,Debit,B042,0,N/A
2025-05-31,C00007,P305,Vàng tích lũy,Wealth,Gold,B042,732774058,N/A
2025-05-31,C00008,P001,Tài khoản thanh toán,Deposit,CA,B045,37348282060,N/A
