AccountID,CustomerID,ProductID,OpenDate
A0000001,C00001,P004,2023-11-05
A0000002,C00001,P001,2023-12-14
A0000003,C00001,P102,2023-12-17
A0000004,C00001,P203,2024-02-17
A0000005,C00001,P202,2023-12-21
A0000006,C00002,P001,2023-05-14
A0000007,C00002,P203,2023-12-18
A0000008,C00003,P006,2021-08-03
A0000009,C00003,P007,2021-09-03
A0000010,C00003,P001,2021-08-12
A0000011,C00003,P205,2021-11-08
A0000012,C00003,P204,2022-01-28
A0000013,C00003,P205,2021-11-26
A0000014,C00003,P301,2022-12-27
A0000015,C00004,P004,2021-11-23
A0000016,C00004,P104,2022-10-07
A0000017,C00004,P203,2022-03-11
A0000018,C00005,P003,2022-02-28
A0000019,C00005,P203,2022-05-27
A0000020,C00006,P007,2022-03-28
A0000021,C00006,P202,2022-11-08
A0000022,C00007,P006,2023-10-23
A0000023,C00007,P002,2023-10-05
A0000024,C00007,P204,2023-12-30
A0000025,C00007,P203,2024-01-24
A0000026,C00008,P006,2025-08-02
A0000027,C00008,P003,2025-08-13
A0000028,C00008,P101,2025-12-27
A0000029,C00008,P202,2025-12-15
A0000030,C00008,P203,2025-12-15
A0000031,C00008,P304,2027-06-08
A0000032,C00009,P006,2021-03-16
A0000033,C00009,P202,2021-09-26
A0000034,C00010,P006,2023-01-08
A0000035,C00010,P001,2023-02-09
A0000036,C00010,P004,2023-01-07
A0000037,C00010,P104,2024-12-11
A0000038,C00010,P205,2023-06-01
A0000039,C00010,P205,2023-11-09
A0000040,C00010,P204,2023-03-27
A0000041,C00010,P301,2023-12-25
A0000042,C00011,P007,2023-10-30
A0000043,C00011,P003,2023-11-13
A0000044,C00011,P103,2024-10-09
A0000045,C00011,P203,2024-08-03
A0000046,C00011,P203,2024-05-27
A0000047,C00012,P006,2023-03-31
A0000048,C00012,P203,2023-08-19
A0000049,C00013,P001,2023-10-25
A0000050,C00013,P203,2024-01-16
A0000051,C00014,P003,2023-11-21
A0000052,C00014,P203,2024-05-13
A0000053,C00015,P003,2021-05-25
A0000054,C00015,P201,2022-03-02
A0000055,C00016,P002,2021-10-17
A0000056,C00016,P203,2022-06-20
A0000057,C00017,P003,2020-03-24
A0000058,C00017,P202,2020-09-28
A0000059,C00018,P005,2023-03-04
A0000060,C00018,P201,2024-01-03
A0000061,C00019,P004,2021-09-30
A0000062,C00019,P006,2021-09-30
A0000063,C00019,P202,2022-03-30
A0000064,C00019,P204,2022-07-07
A0000065,C00020,P003,2024-06-27
A0000066,C00020,P201,2024-07-18
A0000067,C00021,P006,2021-01-26
A0000068,C00021,P005,2021-02-02
A0000069,C00021,P202,2021-03-07
A0000070,C00021,P203,2021-11-27
A0000071,C00022,P005,2025-05-18
A0000072,C00022,P201,2025-06-18
A0000073,C00023,P004,2020-10-11
A0000074,C00023,P201,2021-08-25
A0000075,C00024,P003,2023-09-01
A0000076,C00024,P201,2024-03-20
A0000077,C00025,P007,2021-09-10
A0000078,C00025,P201,2021-11-09
A0000079,C00026,P003,2023-07-12
A0000080,C00026,P203,2023-07-05
A0000081,C00027,P005,2020-07-30
A0000082,C00027,P005,2020-08-21
A0000083,C00027,P204,2021-04-16
A0000084,C00027,P203,2021-07-13
A0000085,C00028,P005,2021-02-02
A0000086,C00028,P203,2021-02-07
A0000087,C00029,P006,2024-06-22
A0000088,C00029,P203,2025-05-29
A0000089,C00030,P005,2021-11-14
A0000090,C00030,P006,2021-11-17
A0000091,C00030,P204,2021-12-24
A0000092,C00030,P203,2022-01-05
A0000093,C00031,P002,2024-01-08
A0000094,C00031,P202,2024-05-10
A0000095,C00032,P002,2021-05-29
A0000096,C00032,P202,2021-06-26
A0000097,C00033,P001,2022-11-26
A0000098,C00033,P202,2023-01-09
A0000099,C00034,P006,2024-08-16
A0000100,C00034,P001,2024-10-11
A0000101,C00034,P106,2026-02-19
A0000102,C00034,P203,2024-12-08
A0000103,C00034,P204,2024-09-27
A0000104,C00034,P302,2026-05-05
A0000105,C00035,P001,2024-10-31
A0000106,C00035,P202,2025-01-11
A0000107,C00036,P006,2023-11-28
A0000108,C00036,P202,2024-11-11
A0000109,C00037,P005,2024-09-12
A0000110,C00037,P203,2025-08-09
A0000111,C00038,P007,2022-07-17
A0000112,C00038,P102,2023-01-23
A0000113,C00038,P202,2022-09-18
A0000114,C00039,P003,2024-04-28
A0000115,C00039,P203,2024-12-31
A0000116,C00040,P003,2021-06-28
A0000117,C00040,P003,2021-06-24
A0000118,C00040,P002,2021-06-06
A0000119,C00040,P206,2021-09-12
A0000120,C00040,P205,2022-01-28
A0000121,C00040,P206,2022-02-09
A0000122,C00040,P305,2021-10-25
A0000123,C00041,P004,2022-08-18
A0000124,C00041,P003,2022-08-14
A0000125,C00041,P003,2022-08-22
A0000126,C00041,P004,2022-08-31
A0000127,C00041,P106,2024-05-15
A0000128,C00041,P206,2023-01-27
A0000129,C00041,P206,2023-04-20
A0000130,C00041,P206,2023-07-16
A0000131,C00041,P305,2023-07-20
A0000132,C00042,P002,2022-08-04
A0000133,C00042,P203,2022-07-19
A0000134,C00043,P004,2022-05-14
A0000135,C00043,P202,2022-05-08
A0000136,C00044,P002,2021-06-14
A0000137,C00044,P003,2021-06-08
A0000138,C00044,P007,2021-05-21
A0000139,C00044,P206,2021-04-30
A0000140,C00044,P204,2021-08-14
A0000141,C00044,P206,2021-05-28
A0000142,C00045,P006,2021-06-03
A0000143,C00045,P002,2021-04-21
A0000144,C00045,P001,2021-05-14
A0000145,C00045,P206,2022-03-26
A0000146,C00045,P206,2021-04-19
A0000147,C00045,P204,2021-06-30
A0000148,C00045,P304,2021-08-04
A0000149,C00046,P007,2021-06-18
A0000150,C00046,P003,2021-06-07
A0000151,C00046,P104,2022-09-30
A0000152,C00046,P203,2021-06-10
A0000153,C00046,P203,2021-06-09
A0000154,C00047,P001,2024-07-16
A0000155,C00047,P006,2024-07-19
A0000156,C00047,P104,2026-08-19
A0000157,C00047,P202,2024-06-18
A0000158,C00047,P203,2025-03-15
A0000159,C00048,P005,2022-04-18
A0000160,C00048,P006,2022-03-29
A0000161,C00048,P106,2024-04-22
A0000162,C00048,P202,2022-10-20
A0000163,C00048,P204,2023-02-06
A0000164,C00049,P004,2024-11-26
A0000165,C00049,P202,2025-06-17
A0000166,C00050,P006,2020-06-26
A0000167,C00050,P202,2020-11-21
A0000168,C00051,P001,2020-09-13
A0000169,C00051,P106,2021-11-28
A0000170,C00051,P202,2021-07-29
A0000171,C00052,P003,2023-11-17
A0000172,C00052,P201,2024-03-19
A0000173,C00053,P002,2021-09-30
A0000174,C00053,P101,2022-11-15
A0000175,C00053,P201,2022-01-08
A0000176,C00054,P001,2020-04-19
A0000177,C00054,P203,2020-09-19
A0000178,C00055,P004,2023-03-07
A0000179,C00055,P001,2023-03-20
A0000180,C00055,P203,2023-07-26
A0000181,C00055,P203,2023-04-25
A0000182,C00056,P003,2020-06-02
A0000183,C00056,P004,2020-05-11
A0000184,C00056,P002,2020-06-17
A0000185,C00056,P204,2020-10-26
A0000186,C00056,P204,2020-09-13
A0000187,C00056,P204,2020-06-08
A0000188,C00056,P301,2020-08-01
A0000189,C00057,P004,2020-06-08
A0000190,C00057,P101,2021-08-28
A0000191,C00057,P202,2021-03-27
A0000192,C00058,P004,2024-04-04
A0000193,C00058,P002,2024-04-09
A0000194,C00058,P103,2025-01-27
A0000195,C00058,P204,2025-01-13
A0000196,C00058,P202,2025-01-26
A0000197,C00059,P007,2021-05-23
A0000198,C00059,P101,2022-01-02
A0000199,C00059,P203,2021-11-23
A0000200,C00060,P005,2024-06-06
A0000201,C00060,P007,2024-05-18
A0000202,C00060,P104,2025-12-24
A0000203,C00060,P203,2024-05-16
A0000204,C00060,P204,2025-01-18
A0000205,C00061,P002,2020-03-07
A0000206,C00061,P203,2020-07-13
A0000207,C00062,P003,2023-04-02
A0000208,C00062,P003,2023-03-21
A0000209,C00062,P103,2024-03-21
A0000210,C00062,P203,2023-06-25
A0000211,C00062,P203,2023-10-12
A0000212,C00063,P001,2021-08-21
A0000213,C00063,P002,2021-08-05
A0000214,C00063,P102,2022-03-26
A0000215,C00063,P202,2022-03-23
A0000216,C00063,P204,2022-07-13
A0000217,C00063,P304,2022-12-14
A0000218,C00064,P006,2022-03-23
A0000219,C00064,P005,2022-03-20
A0000220,C00064,P204,2022-03-12
A0000221,C00064,P204,2022-11-20
A0000222,C00065,P006,2021-08-17
A0000223,C00065,P201,2022-01-28
A0000224,C00066,P005,2020-08-11
A0000225,C00066,P101,2022-07-26
A0000226,C00066,P203,2020-10-14
A0000227,C00067,P003,2021-03-22
A0000228,C00067,P007,2021-02-21
A0000229,C00067,P104,2022-04-02
A0000230,C00067,P204,2021-06-06
A0000231,C00067,P203,2021-03-30
A0000232,C00068,P001,2025-09-20
A0000233,C00068,P105,2026-02-11
A0000234,C00068,P201,2026-01-20
A0000235,C00069,P001,2022-03-13
A0000236,C00069,P201,2022-05-27
A0000237,C00070,P005,2020-11-20
A0000238,C00070,P203,2021-04-02
A0000239,C00071,P001,2022-01-28
A0000240,C00071,P106,2024-02-11
A0000241,C00071,P203,2022-02-20
A0000242,C00072,P002,2025-08-05
A0000243,C00072,P104,2026-07-21
A0000244,C00072,P203,2026-04-07
A0000245,C00073,P004,2022-02-24
A0000246,C00073,P203,2022-02-01
A0000247,C00074,P007,2023-08-24
A0000248,C00074,P201,2024-04-10
A0000249,C00075,P003,2021-07-17
A0000250,C00075,P202,2022-02-05
A0000251,C00076,P006,2021-02-16
A0000252,C00076,P102,2023-01-29
A0000253,C00076,P201,2021-11-13
A0000254,C00077,P002,2022-12-30
A0000255,C00077,P201,2023-05-10
A0000256,C00078,P001,2024-09-23
A0000257,C00078,P201,2024-11-24
A0000258,C00079,P006,2023-10-28
A0000259,C00079,P203,2023-12-19
A0000260,C00080,P002,2021-02-14
A0000261,C00080,P202,2021-10-02
A0000262,C00081,P006,2024-09-09
A0000263,C00081,P201,2024-12-26
A0000264,C00082,P001,2021-07-06
