LoanID,OriginationDate,CustomerID,ProductID,BranchID,DisbursedAmount_VND,TermMonths,InterestRate,Status
L000854,2024-07-29,C02646,P104,B049,61806655,12,0.0817,Disbursed
L000855,2024-07-05,C03690,P106,B019,724794267,120,0.0941,Disbursed
L000856,2024-07-02,C00224,P102,B026,73540302,24,0.0832,Disbursed
L000857,2024-07-12,C01438,P106,B030,663762895,240,0.1318,Disbursed
L000858,2024-07-28,C04256,P104,B021,409334881,24,0.0991,Disbursed
L000859,2024-07-15,C04376,P104,B026,46992418,120,0.0889,Rejected
L000860,2024-07-09,C01031,P103,B027,61180770,180,0.0799,Disbursed
L000861,2024-07-30,C02154,P104,B004,33672475,60,0.133,Disbursed
L000862,2024-07-10,C03283,P106,B014,64711744,180,0.1504,Disbursed
L000863,2024-07-28,C01778,P102,B045,56878198,180,0.0966,Disbursed
L000864,2024-07-19,C04353,P101,B033,884217913,12,0.1541,Disbursed
L000865,2024-07-28,C02814,P102,B013,403760144,60,0.0836,Disbursed
L000866,2024-07-17,C00084,P106,B042,42620596,36,0.1069,Disbursed
L000867,2024-07-01,C02087,P104,B012,85727638,12,0.1463,Disbursed
L000868,2024-07-17,C01768,P105,B022,106179085,180,0.0935,Disbursed
L000869,2024-07-04,C02475,P104,B004,58407657,60,0.1542,Disbursed
L000870,2024-07-02,C01436,P104,B008,1304895441,60,0.1318,Disbursed
L000871,2024-07-02,C04662,P105,B032,419605021,120,0.1301,Disbursed
L000872,2024-07-06,C04200,P105,B003,29063372,180,0.1434,Disbursed
L000873,2024-07-23,C00108,P104,B033,99785932,60,0.0923,Disbursed
L000874,2024-07-22,C03931,P101,B037,62418971,12,0.1078,Disbursed
L000875,2024-07-26,C04278,P104,B039,33494255,120,0.1495,Disbursed
L000876,2024-07-30,C02944,P102,B020,86848402,60,0.0918,Disbursed
L000877,2024-07-12,C01411,P101,B019,1143511770,240,0.1139,Disbursed
L000878,2024-07-14,C04565,P106,B005,433051326,24,0.1189,Disbursed
L000879,2024-07-03,C03917,P105,B034,738989037,120,0.1102,Approved Not Disbursed
L000880,2024-07-09,C03597,P102,B017,50145686,240,0.0954,Disbursed
L000881,2024-07-03,C01353,P106,B005,42329389,24,0.1534,Disbursed
L000882,2024-07-16,C03444,P105,B048,79817495,12,0.142,Disbursed
L000883,2024-07-25,C03153,P105,B022,25689479,36,0.1074,Disbursed
L000884,2024-07-09,C00958,P103,B040,630974552,120,0.1143,Disbursed
L000885,2024-07-18,C03850,P102,B035,61881723,36,0.1217,Disbursed
L000886,2024-07-16,C00257,P102,B017,49617501,60,0.1487,Disbursed
L000887,2024-07-01,C03252,P106,B017,31035244,24,0.131,Disbursed
L000888,2024-07-22,C01555,P101,B008,38546836,12,0.1187,Disbursed
L000889,2024-07-24,C02568,P101,B022,33597735,180,0.1104,Disbursed
L000890,2024-07-09,C01049,P105,B028,42539395,240,0.1221,Disbursed
L000891,2024-07-28,C01469,P101,B008,52346488,12,0.0814,Disbursed
L000892,2024-07-08,C01061,P102,B020,892197654,12,0.0807,Disbursed
L000893,2024-07-07,C02866,P101,B035,46061210,60,0.0956,Disbursed
L000894,2024-07-30,C01234,P103,B015,14376650,60,0.1015,Disbursed
L000895,2024-07-26,C02067,P101,B022,82046379,60,0.0802,Disbursed
L000896,2024-07-30,C01922,P105,B030,299889393,60,0.1065,Disbursed
L000897,2024-07-11,C02062,P102,B005,37704665,180,0.1318,Disbursed
L000898,2024-07-10,C04942,P106,B033,3063654413,120,0.1034,Disbursed
