SurveyID,SurveyDate,CustomerID,BranchID,Score,NPSCategory,PrimaryReasonID,PrimaryReason
NPS0002333,2023-05-17,C03178,B004,10,Promoter,,
NPS0002334,2023-05-15,C02874,B031,10,Promoter,,
NPS0002335,2023-05-04,C02090,B013,7,Passive,,
NPS0002336,2023-05-01,C00154,B034,9,Promoter,,
NPS0002337,2023-05-25,C01146,B031,10,Promoter,,
NPS0002338,2023-05-27,C00911,B011,8,Passive,R01,Phí dịch vụ cao
NPS0002339,2023-05-04,C03008,B042,3,Detractor,R01,Phí dịch vụ cao
NPS0002340,2023-05-19,C03059,B004,5,Detractor,R01,Phí dịch vụ cao
NPS0002341,2023-05-31,C00022,B024,5,Detractor,R01,Phí dịch vụ cao
NPS0002342,2023-05-29,C04603,B037,3,Detractor,R07,Lãi suất chưa cạnh tranh
NPS0002343,2023-05-30,C04341,B026,7,Passive,R02,Thời gian chờ giao dịch lâu
NPS0002344,2023-05-10,C01884,B043,5,Detractor,R01,Phí dịch vụ cao
NPS0002345,2023-05-08,C04650,B038,8,Passive,,
NPS0002346,2023-05-27,C02672,B043,9,Promoter,,
NPS0002347,2023-05-08,C02352,B050,10,Promoter,,
NPS0002348,2023-05-26,C00848,B031,8,Passive,R07,Lãi suất chưa cạnh tranh
NPS0002349,2023-05-06,C03243,B029,10,Promoter,,
NPS0002350,2023-05-29,C02575,B004,10,Promoter,R01,Phí dịch vụ cao
NPS0002351,2023-05-24,C03434,B042,8,Passive,R05,Thái độ nhân viên chưa tốt
NPS0002352,2023-05-25,C00654,B005,9,Promoter,,
NPS0002353,2023-05-30,C03069,B050,8,Passive,,
NPS0002354,2023-05-23,C02707,B010,8,Passive,R02,Thời gian chờ giao dịch lâu
NPS0002355,2023-05-29,C01487,B050,8,Passive,R01,Phí dịch vụ cao
NPS0002356,2023-05-23,C00459,B004,6,Detractor,R02,Thời gian chờ giao dịch lâu
NPS0002357,2023-05-06,C00859,B040,9,Promoter,,
NPS0002358,2023-05-29,C04449,B009,6,Detractor,R01,Phí dịch vụ cao
NPS0002359,2023-05-04,C03123,B003,9,Promoter,,
