TransactionID,Date,CustomerID,ProductID,BranchID,ChannelID,ChannelName,TransactionTypeID,TransactionTypeName,Direction,Amount_VND,Fee_VND,ServiceTimeMinutes
TX000162892,2024-07-15,C01131,P201,B037,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-364059,0,
TX000162893,2024-07-19,C01131,P201,B037,CH3,Internet Banking,T08,Nhận lương,Credit,224771,0,
TX000162894,2024-07-05,C01131,P201,B037,CH5,Phone Banking,T06,Mua sắm thẻ,Debit,-750552,2000,
TX000162895,2024-07-16,C01131,P201,B037,CH4,Mobile Banking,T04,Chuyển khoản liên ngân hàng,Debit,-138064,4400,
TX000162896,2024-07-03,C01131,P201,B037,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-316119,0,
TX000162897,2024-07-26,C01131,P003,B037,CH1,Quầy giao dịch,T05,Thanh toán hóa đơn,Debit,-906864,11000,3.7
TX000162898,2024-07-17,C03104,P001,B027,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-98846,5000,9.2
TX000162899,2024-07-01,C00112,P007,B030,CH3,Internet Banking,T04,Chuyển khoản liên ngân hàng,Debit,-2309931,4400,
TX000162900,2024-07-31,C00112,P204,B030,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-2778076,0,
TX000162901,2024-07-30,C00112,P204,B030,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,487267,0,
TX000162902,2024-07-08,C00112,P006,B030,CH3,Internet Banking,T07,Trả nợ vay,Debit,-10309599,0,
TX000162903,2024-07-28,C00112,P007,B030,CH3,Internet Banking,T04,Chuyển khoản liên ngân hàng,Debit,-2706652,4400,
TX000162904,2024-07-02,C00112,P006,B030,CH4,Mobile Banking,T05,Thanh toán hóa đơn,Debit,-1446479,4400,
TX000162905,2024-07-02,C00112,P006,B030,CH1,Quầy giao dịch,T03,Chuyển khoản nội bộ,Debit,-3844799,11000,12.8
TX000162906,2024-07-15,C00112,P204,B030,CH4,Mobile Banking,T03,Chuyển khoản nội bộ,Debit,-9595309,4400,
TX000162907,2024-07-17,C00112,P007,B030,CH2,ATM,T04,Chuyển khoản liên ngân hàng,Debit,-3354522,11000,
TX000162908,2024-07-16,C04251,P202,B011,CH2,ATM,T04,Chuyển khoản liên ngân hàng,Debit,-207728,11000,
TX000162909,2024-07-16,C00902,P005,B028,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-1517891,4400,
TX000162910,2024-07-01,C00902,P201,B028,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-176778,5000,7.5
TX000162911,2024-07-18,C00902,P005,B028,CH3,Internet Banking,T04,Chuyển khoản liên ngân hàng,Debit,-280987,4400,
TX000162912,2024-07-23,C01377,P203,B050,CH1,Quầy giao dịch,T08,Nhận lương,Credit,4420951,0,10.3
TX000162913,2024-07-31,C01377,P203,B050,CH3,Internet Banking,T04,Chuyển khoản liên ngân hàng,Debit,-4726298,4400,
TX000162914,2024-07-15,C01377,P204,B050,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-4347191,2608,
TX000162915,2024-07-05,C00100,P204,B038,CH1,Quầy giao dịch,T01,Gửi tiền mặt,Credit,2022187,0,17.1
TX000162916,2024-07-22,C00100,P202,B038,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-468231,0,
TX000162917,2024-07-12,C00100,P001,B038,CH2,ATM,T04,Chuyển khoản liên ngân hàng,Debit,-2780189,11000,
TX000162918,2024-07-02,C00100,P202,B038,CH6,Đại lý,T04,Chuyển khoản liên ngân hàng,Debit,-956937,11000,
TX000162919,2024-07-17,C00100,P204,B038,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,5174867,0,
TX000162920,2024-07-17,C03653,P201,B038,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-547478,800,
TX000162921,2024-07-27,C03653,P201,B038,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-325984,0,
TX000162922,2024-07-24,C03653,P007,B038,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-401610,0,
TX000162923,2024-07-02,C00233,P203,B037,CH2,ATM,T01,Gửi tiền mặt,Credit,1735195,0,
TX000162924,2024-07-28,C00233,P005,B037,CH2,ATM,T04,Chuyển khoản liên ngân hàng,Debit,-1511920,11000,
TX000162925,2024-07-29,C00233,P003,B037,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-7008400,5000,15.5
TX000162926,2024-07-05,C00233,P202,B037,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-4417062,5000,17.8
TX000162927,2024-07-05,C00233,P203,B037,CH2,ATM,T06,Mua sắm thẻ,Debit,-3786108,5679,
TX000162928,2024-07-18,C00233,P005,B037,CH3,Internet Banking,T04,Chuyển khoản liên ngân hàng,Debit,-8690294,4400,
TX000162929,2024-07-22,C00432,P001,B037,CH1,Quầy giao dịch,T06,Mua sắm thẻ,Debit,-674172,2000,4.4
TX000162930,2024-07-15,C00432,P001,B037,CH6,Đại lý,T08,Nhận lương,Credit,500035,0,
TX000162931,2024-07-09,C00432,P201,B037,CH4,Mobile Banking,T07,Trả nợ vay,Debit,-280043,0,
TX000162932,2024-07-31,C03271,P202,B035,CH2,ATM,T02,Rút tiền mặt,Debit,-2844166,0,
TX000162933,2024-07-23,C03271,P004,B035,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,552600,0,
TX000162934,2024-07-16,C03271,P202,B035,CH3,Internet Banking,T05,Thanh toán hóa đơn,Debit,-818571,4400,
TX000162935,2024-07-23,C03271,P202,B035,CH1,Quầy giao dịch,T08,Nhận lương,Credit,147065,0,8.2
TX000162936,2024-07-26,C03271,P004,B035,CH4,Mobile Banking,T08,Nhận lương,Credit,110423,0,
TX000162937,2024-07-07,C03279,P202,B029,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-792171,800,
TX000162938,2024-07-15,C03279,P202,B029,CH3,Internet Banking,T04,Chuyển khoản liên ngân hàng,Debit,-268251,4400,
TX000162939,2024-07-20,C01009,P204,B026,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-23039618,13823,
TX000162940,2024-07-26,C01009,P205,B026,CH4,Mobile Banking,T02,Rút tiền mặt,Debit,-136290387,0,
TX000162941,2024-07-01,C01009,P001,B026,CH1,Quầy giao dịch,T04,Chuyển khoản liên ngân hàng,Debit,-13650741,11000,32.1
TX000162942,2024-07-08,C01009,P002,B026,CH2,ATM,T04,Chuyển khoản liên ngân hàng,Debit,-6879023,11000,
TX000162943,2024-07-05,C00456,P201,B050,CH4,Mobile Banking,T02,Rút tiền mặt,Debit,-579517,0,
TX000162944,2024-07-17,C00456,P201,B050,CH1,Quầy giao dịch,T05,Thanh toán hóa đơn,Debit,-480298,11000,12.6
TX000162945,2024-07-18,C00456,P001,B050,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,1228724,0,
TX000162946,2024-07-02,C00046,P203,B008,CH3,Internet Banking,T08,Nhận lương,Credit,109769,0,
TX000162947,2024-07-13,C00046,P203,B008,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-904793,0,
TX000162948,2024-07-03,C00046,P002,B008,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,222027,0,
TX000162949,2024-07-30,C03622,P001,B004,CH1,Quầy giao dịch,T01,Gửi tiền mặt,Credit,1221140,0,17.0
TX000162950,2024-07-22,C03622,P203,B004,CH3,Internet Banking,T07,Trả nợ vay,Debit,-6067102,0,
TX000162951,2024-07-02,C02441,P005,B029,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-315597,5000,15.5
TX000162952,2024-07-19,C02441,P201,B029,CH3,Internet Banking,T01,Gửi tiền mặt,Credit,69564,0,
TX000162953,2024-07-27,C03354,P201,B035,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-179814,0,
TX000162954,2024-07-27,C03354,P004,B035,CH4,Mobile Banking,T01,Gửi tiền mặt,Credit,502725,0,
TX000162955,2024-07-06,C03354,P201,B035,CH3,Internet Banking,T03,Chuyển khoản nội bộ,Debit,-717070,4400,
TX000162956,2024-07-25,C03354,P201,B035,CH3,Internet Banking,T02,Rút tiền mặt,Debit,-146405,0,
TX000162957,2024-07-17,C02635,P005,B050,CH3,Internet Banking,T08,Nhận lương,Credit,872138,0,
TX000162958,2024-07-14,C02635,P005,B050,CH4,Mobile Banking,T06,Mua sắm thẻ,Debit,-679360,800,
TX000162959,2024-07-03,C02635,P201,B050,CH1,Quầy giao dịch,T02,Rút tiền mặt,Debit,-258452,5000,21.8
